Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
64,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,"GPT takes a risk-based approach to water, applying a double materiality consideration, which includes both our impacts on the environment and the financial impacts of the environment on our business. We will continuously improve our water management response based on science, data and best practices by measuring, eliminating, reducing, offsetting, and disclosing.",,,,GPT,2023.0,,,,,,,,,,,,Water Policy,,,,,,,,,,,,,,
65,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Water Cycle Management Framework,,,GPT,2023.0,"GPT has developed a Water Cycle Management framework to ensure sustainable water usage across its properties, focusing on conservation and efficiency. GPT aims to minimise water wastage and reduce its environmental footprint by implementing innovative strategies such as rainwater harvesting and greywater recycling. This framework reflects GPT's commitment to responsible resource management and ecological sustainability in the real estate sector.",,,,,,,"Water Cycle Management framework, key water dependencies, individual water use",2024-06-14 00:00:00,E,,Water Policy,,,,,,,,,,,,,,
66,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Water master planning,,,GPT,2023.0,"GPT has initiated Water Master Planning to systematically manage water resources across its properties, ensuring efficiency and sustainability. Through comprehensive analysis and strategic planning, GPT aims to optimise water usage, reduce waste, and mitigate environmental impact. This proactive approach underscores GPT's commitment to responsible resource management and environmental stewardship within its real estate portfolio.",,,,,,,"Water master planning, Environmental Focus, Nature Roadmap",2024-06-14 00:00:00,E,,CNDS; 11,,,,,,,,,,,,,,
67,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Rainwater capture,,,GPT,2023.0,"GPT has implemented rainwater capture systems across its properties to harness natural resources and reduce reliance on municipal water sources. By collecting and storing rainwater for non-potable uses such as irrigation and toilet flushing, GPT aims to conserve freshwater resources and minimise environmental impact. This initiative showcases GPT's commitment to sustainable practices and responsible water management within its real estate portfolio.",,,,,,,"Rainwater capture, pollution controls, water neutrality",2024-06-14 00:00:00,E,,CNDS; 12,,,,,,,,,,,,,,
68,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Stormwater pilot project,,,GPT,2023.0,"GPT has launched a Stormwater pilot project to address urban runoff challenges and improve water quality within its properties. Through innovative stormwater management techniques such as permeable pavement and biofiltration systems, GPT aims to reduce pollution and mitigate flood risks. This initiative underscores GPT's commitment to environmental sustainability and enhancing the resilience of its real estate developments.",,,,,,,"Stormwater pilot project, drought and flood, Stormwater Pilot case",2024-06-14 00:00:00,E,,CNDS; 36,,,,,,,,,,,,,,
69,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Flood Management Plan,,,GPT,2023.0,"GPT has developed a Flood Management Plan to mitigate risks associated with flooding events across its properties. Utilising comprehensive risk assessments and strategic measures such as flood barriers and drainage systems, GPT aims to enhance property resilience and safeguard occupants and assets. This proactive approach underscores GPT's commitment to ensuring the safety and security of its real estate portfolio in the face of natural disasters.",,,,,,,"Flood Management Plan, stormwater plans, asset-level evaluation",2024-06-14 00:00:00,E,,CNDS; 36,,,,,,,,,,,,,,
70,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Water-Sensitive Urban Design,,,GPT,2023.0,"GPT incorporates water-sensitive urban Design principles into its property developments to promote sustainable water management practices. GPT aims to reduce urban runoff, enhance water quality, and create more resilient urban environments by integrating green roofs, permeable pavements, and rain gardens. This commitment reflects GPT's dedication to environmental stewardship and innovation in the real estate industry.",,,,,,,"Water Sensitive Urban Design, bio-swales, WSUD controls",2024-06-14 00:00:00,E,,https://www.gpt.com.au/sustainability/environment/biodiversity,,,,,,,,,,,,,,
71,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Low water urinals,,,GPT,2023.0,"GPT has installed low-water urinals to minimise water consumption and promote sustainability. Using innovative flushing technology that requires significantly less water per flush, GPT aims to reduce water usage and lower operating costs while maintaining optimal hygiene standards. This initiative underscores GPT's commitment to resource efficiency and environmental responsibility within its real estate portfolio.",,,,,,,"Low water urinals, Water-saving devices, Waterless",2024-06-14 00:00:00,E,,https://www.gpt.com.au/sustainability/environment/water,,,,,,,,,,,,,,
72,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Low flush toilets,,,GPT,2023.0,"GPT has integrated low-flush toilets into its properties to conserve water and promote sustainability. These toilets utilise innovative flushing technology, significantly reducing water consumption without compromising performance. By implementing this initiative, GPT demonstrates its commitment to environmental stewardship and responsible resource management in the real estate sector.",,,,,,,"Low flush toilets, Water-saving devices, Sydney Harbour",2024-06-14 00:00:00,E,,https://www.gpt.com.au/sustainability/environment/water,,,,,,,,,,,,,,
73,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Rainwater tanks,,,GPT,2023.0,"GPT has incorporated rainwater tanks into its properties to harvest and store rainwater for various non-potable purposes. By capturing and utilising rainwater for irrigation, toilet flushing, and other onsite needs, GPT reduces reliance on municipal water sources and promotes sustainable water management practices. This initiative underscores GPT's commitment to environmental sustainability and responsible resource utilisation within its real estate developments.",,,,,,,"Rainwater tanks, Water capture, recycled water",2024-06-14 00:00:00,E,,https://www.gpt.com.au/sustainability/environment/water,,,,,,,,,,,,,,
