Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
180,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Energy Foundation Board Observer Program,,,Origin,2023.0,"The Energy Foundation Board Observer Program is a community-focused initiative to facilitate transparency, understanding, and collaboration in the energy sector. This Program invites community members to actively engage with the decision-making process of the Energy Foundation Board.",,,6,17,,,"Energy Foundation Board Observer Program, senior Origin leaders, observers for 12 months",11,S,,,,,,,,,,,,,,,,
181,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Give Time volunteer program,,,Origin,2023.0,"The Origin Energy FoundationÃ¢ÂÂs volunteering program, Give Time, provides employees with opportunities to participate in impactful volunteering programs with several community partners. It was awarded gold in the Best Pro Bono/Workplace Volunteering category of the 2022 Australian Workplace Giving Awards.",,,6,20,,,"Give Time volunteer program, unlimited days for volunteering, employee's giving",11,S,,,,,,,,,,,,,,,,
182,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Solar light donation,,,Origin,2023.0,Solar Light Donation is a community-driven endeavour to improve lives and promote sustainable energy solutions. This initiative involves providing solar lights to underserved or off-grid communities.,,,6,17,,,"Solar light donation, SolarBuddy, 12 months",11,S,,,,,,,,,,,,,,,,
183,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Employee volunteering program,,,Origin,2023.0,"The Employee Volunteering Program embodies a solid commitment to community engagement and giving back. Origin employees actively participate in volunteer opportunities, dedicating their time and skills to support various community initiatives. From environmental conservation to educational programs and social outreach, employees unite to make a positive impact.",,,6,20,,,"Employee volunteering program, Local community programs, $2.4 million",11,S,,,,,,,,,,,,,,,,
184,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Yalari partnership,,,Origin,2023.0,"Yalari Partnership represents a meaningful collaboration to empower Indigenous youth through education and opportunity. Origin, in partnership with Yalari, works towards supporting the education of Indigenous students, providing scholarships, mentoring, and guidance throughout their academic journey.",,,6,42,,,"Yalari partnership, scholarship programs, years 7 to 12",11,S,,,,,,,,,,,,,,,,
185,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Power On hardship program,,,Origin,2023.0,"The Power On Hardship Program is a compassionate community initiative dedicated to supporting those facing financial difficulties and struggling with their energy bills. Provided around $30 million in support to our most vulnerable customers, including those on our Power On hardship program.","Provided around $30 million in support to our most vulnerable customers, including those on our Power On hardship program",,6,6,,,"Power On hardship program, $30 million, vulnerable customer",11,S,,,,,,,,,,,,,,,,
186,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,80 community batteries,,,Origin,2023.0,80 Community Batteries embody a visionary community effort focused on sustainable energy solutions. This initiative involves deploying 80 community-based battery storage units strategically positioned to harness and store excess renewable Energy.,,,6,15,,,"80 community batteries, 1,500 customers, capital outlay",11,S,,,,,,,,,,,,,,,,
187,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,SolarBuddy partnership,,,Origin,2023.0,"SolarBuddy Partnership is a heartfelt community collaboration to provide solar-powered lights to underserved communities. Origin partners with SolarBuddy to donate solar lights, illuminating the lives of those without access to reliable electricity.",,,6,20,,,"SolarBuddy partnership, 10,000th SolarBuddy light, scientists and engineers",11,S,,,,,,,,,,,,,,,,
188,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Thriving Communities Partnership,,,Origin,2023.0,"Thriving Communities Partnership exemplifies a community-driven endeavour focused on holistic growth and wellbeing. Origin collaborates with various stakeholders to foster sustainable development, addressing community needs.",,,6,13,,,"Thriving Communities Partnership, contemporary society, financial distress",11,S,,,,,,,,,,,,,,,,
189,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,The Salvation Army,,,Origin,2023.0,"Salvation Army signifies a compassionate partnership focused on aiding vulnerable individuals and families within the community. Origin collaborates with The Salvatorganisationreputable charitable organization, to support those facing adversity.","In FY2023, Origin supported its Ã¢ÂÂLight the wayÃ¢ÂÂ Christmas appeal in collaboration with other energy retailers, providing more than 660 families experiencing financial hardship with household essentials, vouchers and toys.",,6,13,,,"The Salvation Army, vulnerable people, Light the way, vouchers and toys",11,S,,,,,,,,,,,,,,,,
